,1:3:2:5:4:9,7:6,8
Signature.1,0.0,0.137393336926,0.0285480295377
Signature.2,0.0,0.0,0.0378990095885
Signature.3,0.0,0.0242468151269,0.0533074269313
Signature.4,0.0,0.0152957438391,0.0
Signature.5,0.0996763404697,0.0198373362307,0.0231166855367
Signature.6,0.0,0.232458961547,0.0180936666855
Signature.7,0.0203127918173,0.0,0.0
Signature.8,0.0,0.0,0.0678432626599
Signature.9,0.0173383271903,0.0,0.0272191317298
Signature.10,0.0,0.0,0.0156729503454
Signature.11,0.0570247093552,0.0,0.0
Signature.12,0.0210280597106,0.0,0.0
Signature.13,0.0900467998153,0.0516072223347,0.0
Signature.14,0.35528707713,0.141038342513,0.0
Signature.15,0.0,0.0,0.0
Signature.16,0.0,0.0,0.0
Signature.17,0.111294523512,0.0314440734528,0.0
Signature.18,0.0,0.0,0.0418758005388
Signature.19,0.0,0.160821063234,0.0326197069823
Signature.20,0.0,0.0,0.0
Signature.21,0.0,0.0,0.0
Signature.22,0.227991371,0.0,0.323911520967
Signature.23,0.0,0.0,0.080891121166
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.100672427318,0.0109356998283
Signature.26,0.0,0.0,0.0
Signature.27,0.0,0.0290165776879,0.0157773233547
Signature.28,0.0,0.0256383449091,0.0
Signature.29,0.0,0.0,0.0140524152591
Signature.30,0.0,0.0305297548804,0.208236248889
