,1:2:5:4:7:6:9:8,3
Signature.1,0.0,0.381937784218
Signature.2,0.436385799074,0.0
Signature.3,0.0114986568568,0.0
Signature.4,0.0,0.0
Signature.5,0.0,0.0
Signature.6,0.0137720640714,0.0
Signature.7,0.0,0.0
Signature.8,0.0,0.0
Signature.9,0.0449962462907,0.0
Signature.10,0.0,0.0
Signature.11,0.0233023144487,0.0
Signature.12,0.294754946133,0.0
Signature.13,0.0,0.0446588467848
Signature.14,0.0,0.0
Signature.15,0.0,0.0
Signature.16,0.0,0.0
Signature.17,0.0,0.0
Signature.18,0.0220990303808,0.0
Signature.19,0.0,0.0
Signature.20,0.0,0.0
Signature.21,0.0,0.120519067473
Signature.22,0.0,0.380549199279
Signature.23,0.129436491244,0.0
Signature.24,0.0,0.0174754536853
Signature.25,0.0237544515005,0.01495966704
Signature.26,0.0,0.0
Signature.27,0.0,0.0
Signature.28,0.0,0.0257199083414
Signature.29,0.0,0.0
Signature.30,0.0,0.0141800731791
