,1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0207431556603
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0505811639189
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0514326247382
Signature.15,0.0916649697649
Signature.16,0.0127034025689
Signature.17,0.14453707137
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0
Signature.22,0.324433053848
Signature.23,0.0
Signature.24,0.0687803260931
Signature.25,0.0231078559865
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.189171207403
Signature.30,0.0228451686482
