,11:9:10,1:2:5:7:6:8,3:4
Signature.1,0.0340349104762,0.0354253066348,0.0
Signature.2,0.0,0.0,0.0
Signature.3,0.198275319304,0.0,0.0
Signature.4,0.0957674308784,0.0,0.0887027401573
Signature.5,0.0,0.0,0.0
Signature.6,0.0,0.0808099699649,0.0
Signature.7,0.0168358717549,0.0,0.0
Signature.8,0.0,0.0300105891272,0.0107604526512
Signature.9,0.0,0.0,0.113888194098
Signature.10,0.0458609030095,0.0439930416341,0.0
Signature.11,0.0,0.0,0.0458956052025
Signature.12,0.0,0.0413834670867,0.0629740141431
Signature.13,0.0391224434699,0.149081212097,0.159981940219
Signature.14,0.0,0.015851277438,0.0
Signature.15,0.0,0.0225668043347,0.0
Signature.16,0.0275775836828,0.0,0.0
Signature.17,0.0,0.0727696703599,0.173759653943
Signature.18,0.0460232007927,0.0,0.0
Signature.19,0.127723623657,0.0,0.045602934387
Signature.20,0.0,0.0,0.0468131262453
Signature.21,0.0,0.0,0.145816284088
Signature.22,0.0,0.310204828069,0.0
Signature.23,0.012819781907,0.0,0.0
Signature.24,0.0,0.026087794913,0.0
Signature.25,0.0263176649847,0.022792753791,0.0
Signature.26,0.156901842902,0.136946716646,0.105805054866
Signature.27,0.0514101937081,0.0,0.0
Signature.28,0.0,0.0,0.0
Signature.29,0.0,0.0,0.0
Signature.30,0.121329229473,0.0120765679039,0.0
