,11:10:1:2:9:8,3:4,5,7:6
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.265891904873,0.270853987208,0.0872408112395,0.0
Signature.3,0.0258282210353,0.0,0.0,0.0
Signature.4,0.0,0.124739143283,0.0,0.11561148899
Signature.5,0.0,0.0,0.129954823876,0.0
Signature.6,0.0702672880651,0.0,0.0,0.073725886349
Signature.7,0.0475693128616,0.0137668247714,0.0,0.0563747913878
Signature.8,0.155953553445,0.0572299260169,0.0,0.0
Signature.9,0.0874254231378,0.0,0.0,0.185577069797
Signature.10,0.0223543687406,0.0359758120396,0.0,0.0
Signature.11,0.0,0.0125722914198,0.0,0.0
Signature.12,0.0373738075044,0.0,0.0,0.0
Signature.13,0.0,0.0,0.0,0.0
Signature.14,0.0,0.0,0.0,0.0
Signature.15,0.0,0.061157061322,0.0830100471671,0.0204326536714
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0,0.0,0.0,0.108903999475
Signature.18,0.0,0.0,0.0102494429269,0.0
Signature.19,0.0,0.0,0.0,0.17760043244
Signature.20,0.0,0.078162945976,0.0301935025514,0.0463233017959
Signature.21,0.137997860466,0.0121999302823,0.0198517216499,0.146146325113
Signature.22,0.130799882912,0.0,0.0465516518636,0.0
Signature.23,0.0,0.0,0.0,0.026590715287
Signature.24,0.0,0.0217669485063,0.0,0.0
Signature.25,0.0185383769601,0.0509534558336,0.125629764782,0.0
Signature.26,0.0,0.0984448853475,0.250975322964,0.042713335693
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.0,0.0388778390595,0.0860793918014,0.0
Signature.29,0.0,0.123298948934,0.130263519177,0.0
Signature.30,0.0,0.0,0.0,0.0
