,11,9:10,1:3:2:5:4:8,7:6
Signature.1,0.0,0.101381162153,0.0,0.118052550228
Signature.2,0.0,0.0,0.151403143622,0.0
Signature.3,0.0685878602376,0.0,0.032495885068,0.0
Signature.4,0.0,0.0892202638695,0.270669203868,0.065385556867
Signature.5,0.0201867653331,0.0,0.0,0.129365225131
Signature.6,0.0,0.0,0.0,0.0720675287331
Signature.7,0.0,0.0502289648038,0.0,0.0
Signature.8,0.0341644775449,0.0599345854389,0.0,0.0
Signature.9,0.0,0.0559977850244,0.0598738482494,0.155143443125
Signature.10,0.0,0.0,0.0,0.0305424551003
Signature.11,0.0200392720245,0.0545473438193,0.0861093768563,0.0
Signature.12,0.460699168601,0.0331049762738,0.115723416937,0.0
Signature.13,0.0,0.0,0.054056918791,0.0
Signature.14,0.0,0.0,0.0,0.0
Signature.15,0.0347165295141,0.0,0.0,0.0
Signature.16,0.0968358660852,0.0782188952819,0.0,0.0
Signature.17,0.0,0.0298862251585,0.0,0.0288352829578
Signature.18,0.0118390287773,0.0,0.034776846504,0.0853777363938
Signature.19,0.0,0.0,0.0,0.0
Signature.20,0.0,0.0,0.0530926429065,0.0
Signature.21,0.0,0.183148086573,0.0,0.0
Signature.22,0.0,0.0232476001693,0.0239248375948,0.0553649082116
Signature.23,0.136091088833,0.0,0.0,0.0122687389332
Signature.24,0.0199316183718,0.0984003803842,0.0,0.0651308199281
Signature.25,0.0,0.0,0.0,0.108219659522
Signature.26,0.0,0.0,0.0317978818691,0.0
Signature.27,0.0187627274222,0.0716088473045,0.0860759977332,0.0
Signature.28,0.0,0.0209379648691,0.0,0.0742460948682
Signature.29,0.0,0.0,0.0,0.0
Signature.30,0.0781455972553,0.0501369188767,0.0,0.0
