,1:9:8,3:2:5:4:7:6
Signature.1,0.0,0.0363399885901
Signature.2,0.0,0.0
Signature.3,0.0599036745272,0.0185485232055
Signature.4,0.0181338647341,0.0
Signature.5,0.010585643396,0.0234203805454
Signature.6,0.0776816204596,0.0289449381805
Signature.7,0.0,0.134056955675
Signature.8,0.0,0.0159789219062
Signature.9,0.0,0.0
Signature.10,0.0219090323916,0.0180952215053
Signature.11,0.0,0.0
Signature.12,0.0,0.116101660453
Signature.13,0.012233769409,0.0330356793166
Signature.14,0.0236981452105,0.0
Signature.15,0.0313981152653,0.0
Signature.16,0.0,0.054022494325
Signature.17,0.0121841094826,0.039890201448
Signature.18,0.114777423451,0.0
Signature.19,0.0,0.0380454873712
Signature.20,0.0,0.248065669432
Signature.21,0.0312418304836,0.0
Signature.22,0.0,0.0
Signature.23,0.121069551597,0.012433068948
Signature.24,0.135454994466,0.0349435585527
Signature.25,0.0,0.0
Signature.26,0.135452671539,0.0
Signature.27,0.194275553588,0.0
Signature.28,0.0,0.0
Signature.29,0.0,0.0
Signature.30,0.0,0.148077250546
