,1:3:2:4,5:6,9:7,8
Signature.1,0.0524796870762,0.0,0.0,0.0776126493642
Signature.2,0.0,0.0436050590033,0.0,0.0397912584875
Signature.3,0.0201065861535,0.0,0.0824800904954,0.0
Signature.4,0.0251972358261,0.0,0.0,0.01654744116
Signature.5,0.0256661621099,0.0324747612945,0.0,0.0230464945523
Signature.6,0.0,0.0,0.0,0.0
Signature.7,0.492120930693,0.0,0.0352375702988,0.0
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.0,0.0133800914607,0.0,0.256900487602
Signature.10,0.0,0.0,0.109823242917,0.0
Signature.11,0.0,0.0424728601842,0.0,0.0831277888746
Signature.12,0.0,0.0945565172044,0.185118676208,0.0
Signature.13,0.0390530463001,0.0,0.102114197172,0.0
Signature.14,0.0,0.0137906319041,0.104013822444,0.0
Signature.15,0.0628742188236,0.0441755896062,0.0,0.0267800050582
Signature.16,0.0,0.03436584377,0.0438093606759,0.0108812996225
Signature.17,0.0,0.0108026086151,0.0,0.0
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.111087628688,0.0311228548077,0.0,0.0
Signature.20,0.0,0.136984440832,0.149351113281,0.0557832887866
Signature.21,0.0228864883415,0.0,0.0,0.157712118628
Signature.22,0.0124891126732,0.0,0.053803222605,0.0
Signature.23,0.0,0.250533098032,0.0,0.0
Signature.24,0.0274454311348,0.0,0.0,0.0304778864516
Signature.25,0.0,0.0,0.0,0.0812528238118
Signature.26,0.10859347218,0.102318426263,0.0,0.0
Signature.27,0.0,0.111138194111,0.0501017047246,0.12735639324
Signature.28,0.0,0.0382790229116,0.0,0.0
Signature.29,0.0,0.0,0.0170394593333,0.0127300643613
Signature.30,0.0,0.0,0.0671075398462,0.0
