,1:3:2:5:4:7:6:9:8
Signature.1,0.0322662308434
Signature.2,0.193141318662
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0647219437688
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0140813558694
Signature.9,0.0
Signature.10,0.0939513717693
Signature.11,0.0396955944169
Signature.12,0.206509422403
Signature.13,0.0
Signature.14,0.0201754725821
Signature.15,0.0974465979384
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0160769684154
Signature.21,0.0242208015729
Signature.22,0.155093249424
Signature.23,0.0
Signature.24,0.0171335092206
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0254861631144
Signature.29,0.0
Signature.30,0.0
