,11,10:1:3:5:4:7:6:9:8,2
Signature.1,0.0,0.146843516581,0.0
Signature.2,0.018830178716,0.0322797036209,0.0
Signature.3,0.0,0.0,0.236275028885
Signature.4,0.0,0.226735240799,0.0
Signature.5,0.0,0.0869931397098,0.0
Signature.6,0.0,0.0,0.0
Signature.7,0.040208639961,0.0,0.0
Signature.8,0.0564190121527,0.0,0.0
Signature.9,0.036938057203,0.0,0.0
Signature.10,0.0215488780534,0.0,0.012139729755
Signature.11,0.0,0.0,0.0639580581844
Signature.12,0.239408880836,0.0,0.0
Signature.13,0.0276274032279,0.0225338381551,0.0
Signature.14,0.0,0.0,0.061805194316
Signature.15,0.0719012275653,0.0,0.0626414478448
Signature.16,0.0885802949598,0.0,0.1654695003
Signature.17,0.0,0.0326132928101,0.0
Signature.18,0.0,0.0289793124292,0.0
Signature.19,0.0,0.214407604289,0.11461332164
Signature.20,0.0,0.0312890318098,0.0202971901092
Signature.21,0.0,0.0,0.0
Signature.22,0.0925065598537,0.037153630204,0.17198497792
Signature.23,0.0,0.0338654500409,0.0
Signature.24,0.0353831560876,0.0,0.0
Signature.25,0.0,0.0,0.0
Signature.26,0.0385209520963,0.0232905201979,0.0
Signature.27,0.0,0.0658659997872,0.0908155510465
Signature.28,0.0,0.0,0.0
Signature.29,0.232126759288,0.0171497195665,0.0
Signature.30,0.0,0.0,0.0
