,1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0254515606148
Signature.3,0.0131544890765
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0742087381546
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0255565598989
Signature.11,0.187433158219
Signature.12,0.0990311612634
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0384582611817
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0172363422447
Signature.21,0.275931298424
Signature.22,0.0
Signature.23,0.20420436553
Signature.24,0.0247089397343
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0146251256573
Signature.29,0.0
Signature.30,0.0
