,1:3:5:4:6,2,9:8:7
Signature.1,0.0,0.0920284762135,0.0
Signature.2,0.0308957197749,0.200343941506,0.0958868037693
Signature.3,0.185204669986,0.0321063843189,0.0
Signature.4,0.0,0.0,0.042136471553
Signature.5,0.0,0.0,0.0
Signature.6,0.0,0.0,0.0
Signature.7,0.0753918665773,0.020829333001,0.0578863814612
Signature.8,0.0566920579625,0.092493308289,0.0
Signature.9,0.0202841191341,0.0290110018681,0.0
Signature.10,0.0632403637371,0.0,0.0
Signature.11,0.0260460825936,0.0,0.0612149360916
Signature.12,0.0,0.0342520224282,0.0198131179722
Signature.13,0.0,0.0,0.0
Signature.14,0.0,0.0,0.313219477858
Signature.15,0.0,0.0,0.0
Signature.16,0.0,0.0290016123942,0.0
Signature.17,0.0,0.0,0.0
Signature.18,0.0693173343938,0.11020132278,0.0
Signature.19,0.0,0.0,0.0
Signature.20,0.0117792845537,0.0640074433466,0.0
Signature.21,0.0463778809096,0.0,0.102633085287
Signature.22,0.253046321974,0.0546136090514,0.0
Signature.23,0.0881327768419,0.102266913975,0.0298302854307
Signature.24,0.0,0.0165691857969,0.0
Signature.25,0.0503102949365,0.0,0.0
Signature.26,0.0,0.0,0.0
Signature.27,0.0232812266253,0.0,0.169762990149
Signature.28,0.0,0.0377838322122,0.0149904293692
Signature.29,0.0,0.0,0.0
Signature.30,0.0,0.0844916128181,0.0926260210588
