,1:3:2:5:4:9:8,7:6
Signature.1,0.0,0.0
Signature.2,0.0,0.0
Signature.3,0.0223384020632,0.295633687471
Signature.4,0.0,0.0
Signature.5,0.0119957103188,0.0
Signature.6,0.0,0.0506006938577
Signature.7,0.0162807083162,0.0
Signature.8,0.0,0.0124874872584
Signature.9,0.0,0.0211738088551
Signature.10,0.0,0.0
Signature.11,0.0365690587313,0.0
Signature.12,0.10594896905,0.031002342396
Signature.13,0.0,0.0
Signature.14,0.330246268597,0.0255370973611
Signature.15,0.0892863520178,0.0
Signature.16,0.0,0.0
Signature.17,0.0,0.0502180046761
Signature.18,0.0923977407978,0.0688191558568
Signature.19,0.0315707391609,0.0510980654945
Signature.20,0.0,0.0
Signature.21,0.0,0.0
Signature.22,0.0,0.0582598064392
Signature.23,0.0,0.208042100592
Signature.24,0.0,0.0240040479256
Signature.25,0.159276859917,0.0
Signature.26,0.0,0.043907498398
Signature.27,0.0127932227051,0.0316073123032
Signature.28,0.0,0.0141050627349
Signature.29,0.0912959683254,0.0135038283802
Signature.30,0.0,0.0
