,11:1:2:5:6:9:8,10,3:4,7
Signature.1,0.0,0.0,0.0,0.0109047800519
Signature.2,0.259524621718,0.0,0.0,0.118939074561
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0462121431124,0.0,0.244956493677,0.0149628505982
Signature.5,0.0249537227403,0.0164652461545,0.0,0.161523636332
Signature.6,0.0,0.0649532659217,0.0,0.0141311944282
Signature.7,0.0,0.0739888313208,0.0986798329942,0.0
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.0,0.0,0.0571711007987,0.0
Signature.10,0.0151656320935,0.0,0.0351308812442,0.0
Signature.11,0.0,0.214559988308,0.0125128881149,0.16093095877
Signature.12,0.129491958533,0.0,0.0656569983515,0.035587333324
Signature.13,0.0,0.0136051446147,0.0,0.223680828993
Signature.14,0.0153811556238,0.0218364523303,0.0571163624555,0.0
Signature.15,0.0,0.0,0.0,0.0
Signature.16,0.0,0.0,0.0,0.0137557577881
Signature.17,0.0,0.0,0.0645555433518,0.0
Signature.18,0.0,0.0107817723751,0.0,0.0
Signature.19,0.0,0.0,0.0,0.0288675984761
Signature.20,0.0225288023549,0.0,0.0,0.0223917408172
Signature.21,0.0193827654342,0.0,0.0597504470609,0.0
Signature.22,0.103124934475,0.0,0.207738108523,0.0
Signature.23,0.0,0.145348151013,0.0,0.0
Signature.24,0.0,0.0,0.0536303275837,0.0270770268338
Signature.25,0.0,0.295503336395,0.011482475953,0.0299788969694
Signature.26,0.0968328529943,0.0112607174797,0.0,0.0441350704824
Signature.27,0.0,0.0,0.0,0.0569256092145
Signature.28,0.0,0.0,0.0,0.0
Signature.29,0.213002794329,0.131697094088,0.0316185398917,0.0
Signature.30,0.0543986165906,0.0,0.0,0.0362076423605
