,1:2,3,5:4,7:6
Signature.1,0.0,0.0211198661182,0.0,0.0
Signature.2,0.0105969293001,0.014302344317,0.0,0.261614143883
Signature.3,0.0,0.0912092574935,0.0,0.0
Signature.4,0.161658150003,0.0391619242041,0.0,0.0
Signature.5,0.0,0.0,0.0,0.130289998906
Signature.6,0.0,0.0,0.0,0.0
Signature.7,0.26837089144,0.0,0.0101831291137,0.0
Signature.8,0.0,0.0503569815383,0.0109532938781,0.0609463993542
Signature.9,0.0287667037215,0.034660789797,0.0574106867429,0.0472134293618
Signature.10,0.0270773497567,0.0644545485632,0.0,0.0165585391021
Signature.11,0.0,0.0,0.0185895538025,0.0
Signature.12,0.0,0.0727433976961,0.0,0.0
Signature.13,0.0491442333103,0.0,0.0,0.0
Signature.14,0.0238544187572,0.0,0.0,0.280867824798
Signature.15,0.0,0.0,0.0508856471434,0.0
Signature.16,0.0,0.15930303285,0.0,0.0
Signature.17,0.122769207707,0.0,0.0,0.0110097250617
Signature.18,0.0,0.0,0.0635739133261,0.0
Signature.19,0.0,0.0551300232123,0.0,0.0739543859627
Signature.20,0.0,0.0,0.235197566049,0.0
Signature.21,0.0111775205644,0.0,0.379929000483,0.0793419679233
Signature.22,0.0,0.0720405760981,0.0,0.0
Signature.23,0.0669713029771,0.0,0.0,0.0
Signature.24,0.0,0.0166411407826,0.031569656334,0.0249247318437
Signature.25,0.0,0.0208599855826,0.0274909099108,0.0132788538031
Signature.26,0.140231756894,0.123631461469,0.0449948385834,0.0
Signature.27,0.0,0.132658863969,0.0167103112969,0.0
Signature.28,0.0269946763025,0.0,0.0365338580915,0.0
Signature.29,0.0,0.0,0.0159776352453,0.0
Signature.30,0.0623868592657,0.031725806309,0.0,0.0
