,11:9:10,1:8:3:5:4,2,7:6
Signature.1,0.310981920482,0.0105254032597,0.0832325543814,0.0
Signature.2,0.0517900533829,0.0,0.0,0.0227125367747
Signature.3,0.0,0.0281964028373,0.0,0.0564861880465
Signature.4,0.0373865490436,0.0,0.0,0.0
Signature.5,0.0222430082298,0.0,0.0220715262867,0.0
Signature.6,0.0167097542955,0.0186937299558,0.0,0.0
Signature.7,0.142981412598,0.0,0.0755301626526,0.0469360460906
Signature.8,0.0,0.0,0.0556470192424,0.0467574548962
Signature.9,0.0,0.0,0.0135171575606,0.0
Signature.10,0.011526149623,0.0425346371352,0.100680195597,0.0
Signature.11,0.0,0.0,0.0123732850566,0.240940600294
Signature.12,0.0517474086191,0.0762603661221,0.033770309896,0.044828470008
Signature.13,0.121193926617,0.0,0.0131239326708,0.0
Signature.14,0.0,0.0,0.0267905476949,0.0
Signature.15,0.0,0.227454303747,0.0,0.235012842523
Signature.16,0.0780990863315,0.0,0.0,0.0
Signature.17,0.0,0.0,0.0,0.0
Signature.18,0.0,0.0515077589026,0.0,0.0
Signature.19,0.0174340136421,0.209085369804,0.0,0.0139030966838
Signature.20,0.0,0.0,0.0656838872266,0.0479934245477
Signature.21,0.0,0.0187895251463,0.0107764482586,0.0834601409315
Signature.22,0.0858220629433,0.0940027976363,0.0627087296135,0.0
Signature.23,0.0336221906944,0.0,0.152192565806,0.119340381403
Signature.24,0.0,0.0428236618737,0.0,0.0
Signature.25,0.0,0.0,0.0148932161128,0.02728043376
Signature.26,0.0184624634979,0.0,0.0698893562688,0.0
Signature.27,0.0,0.0,0.0488285392621,0.0143483840406
Signature.28,0.0,0.180126043579,0.0784914866943,0.0
Signature.29,0.0,0.0,0.0,0.0
Signature.30,0.0,0.0,0.0597990797183,0.0
