,1:3:2:5:4:7:6:9:8
Signature.1,0.018006551641
Signature.2,0.0192626825313
Signature.3,0.0
Signature.4,0.027654373659
Signature.5,0.0113806945983
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0467340676019
Signature.11,0.0278657336582
Signature.12,0.0
Signature.13,0.0785281345542
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0667935329622
Signature.20,0.23747851849
Signature.21,0.0
Signature.22,0.0125091746004
Signature.23,0.156190024385
Signature.24,0.0
Signature.25,0.0
Signature.26,0.270301662429
Signature.27,0.0
Signature.28,0.0
Signature.29,0.027294848889
Signature.30,0.0
