,11,9:10,1:2:5:7:6:8,3:4
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0898447857953,0.03051119794,0.0890484341312,0.0
Signature.3,0.0,0.0,0.0926286478525,0.0
Signature.4,0.0,0.0189546782237,0.0275190780246,0.0
Signature.5,0.0,0.232744261306,0.0,0.0967435743358
Signature.6,0.0402119533589,0.0,0.0,0.0415565364301
Signature.7,0.0,0.0122247049386,0.0755843546667,0.0
Signature.8,0.0589133459501,0.0,0.0241828798785,0.199312289488
Signature.9,0.0555757664738,0.150580112656,0.0,0.0307936418037
Signature.10,0.0324268548538,0.0,0.0,0.0
Signature.11,0.0,0.0286137331438,0.0355417654883,0.0
Signature.12,0.0125467344835,0.0,0.0559861301106,0.227552546646
Signature.13,0.0,0.0427460415188,0.0,0.0
Signature.14,0.0,0.0,0.0,0.0
Signature.15,0.0,0.149827578815,0.0,0.0176283115653
Signature.16,0.0,0.0,0.0112174253904,0.0156304344425
Signature.17,0.0,0.0829204847261,0.0,0.0
Signature.18,0.0,0.0115985618572,0.0182329838586,0.0
Signature.19,0.0,0.0,0.0,0.0
Signature.20,0.0,0.0238928398122,0.0182626181037,0.140344727617
Signature.21,0.0,0.0,0.0,0.0223556866907
Signature.22,0.0,0.0,0.0580404610828,0.0
Signature.23,0.0,0.0,0.0,0.127322904208
Signature.24,0.0788610503652,0.0614191530622,0.014146512705,0.0327097293742
Signature.25,0.0,0.0,0.0559757236803,0.0
Signature.26,0.0242732650435,0.0,0.178397032584,0.0
Signature.27,0.607346243676,0.127147786317,0.0,0.0
Signature.28,0.0,0.0,0.134066059749,0.0
Signature.29,0.0,0.0268188656832,0.111169892693,0.0
Signature.30,0.0,0.0,0.0,0.0480496173993
