,1:2,3,5:4
Signature.1,0.0,0.0,0.0
Signature.2,0.0,0.0497645734832,0.0
Signature.3,0.0437533105805,0.0192423565682,0.0534939854004
Signature.4,0.0,0.0220463935231,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.0783023742,0.0,0.0648609743231
Signature.7,0.0,0.0,0.0377284313295
Signature.8,0.0,0.178258110935,0.0116651613526
Signature.9,0.0,0.0329641908654,0.0
Signature.10,0.0,0.0,0.0
Signature.11,0.0,0.0,0.241478429585
Signature.12,0.0298737639108,0.0,0.0373512960025
Signature.13,0.0,0.0156767997801,0.0
Signature.14,0.237570349398,0.0209383059476,0.0
Signature.15,0.0,0.0228188710168,0.0
Signature.16,0.0,0.0390671907566,0.0
Signature.17,0.0,0.0,0.107150203747
Signature.18,0.0116837275539,0.0,0.0
Signature.19,0.0,0.0566502584209,0.0
Signature.20,0.100164550948,0.0666735428884,0.0
Signature.21,0.0375964956956,0.0,0.0
Signature.22,0.0,0.22850214819,0.0
Signature.23,0.0,0.0,0.0437475277656
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.0,0.102831390817
Signature.26,0.0352245367993,0.0295125796407,0.0
Signature.27,0.309006814778,0.114609368653,0.0880187230048
Signature.28,0.0,0.0706541927783,0.111159035324
Signature.29,0.0891944149615,0.0326211165517,0.0
Signature.30,0.0276296611737,0.0,0.100514841347
