,11,10:1:3:2:5:4:7:6:9,8
Signature.1,0.0,0.0,0.0257776619209
Signature.2,0.0,0.141723723779,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.0,0.0,0.152074935249
Signature.5,0.166011303432,0.0406309866614,0.0
Signature.6,0.0,0.0,0.0671759705922
Signature.7,0.102588478826,0.0533507941694,0.0507104979624
Signature.8,0.0,0.0,0.0
Signature.9,0.0,0.0,0.0
Signature.10,0.0,0.0317112853669,0.0126494601176
Signature.11,0.117782153841,0.209773358703,0.0
Signature.12,0.178274444855,0.0,0.0
Signature.13,0.0624348509749,0.0,0.0
Signature.14,0.0,0.0,0.157876302709
Signature.15,0.0822029261323,0.0,0.0
Signature.16,0.0,0.0527414754768,0.0
Signature.17,0.0313594729041,0.0433204146579,0.06862550745
Signature.18,0.117397301834,0.126670040788,0.0
Signature.19,0.0754886564428,0.0,0.0543258115178
Signature.20,0.0,0.0225692571166,0.0
Signature.21,0.0,0.0,0.0
Signature.22,0.0252258405013,0.0,0.0596502606672
Signature.23,0.0,0.0754107712036,0.0
Signature.24,0.0,0.0313291883361,0.0
Signature.25,0.0,0.0,0.0
Signature.26,0.0,0.0,0.0
Signature.27,0.0,0.119268732607,0.120903628612
Signature.28,0.0129562661736,0.0143349099664,0.212072735759
Signature.29,0.0149813570923,0.0,0.0
Signature.30,0.0132969469907,0.0371650611686,0.018157227443
