,11:9:10,1:2:5:7:6:8,3:4
Signature.1,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0
Signature.3,0.0285633211642,0.0,0.0
Signature.4,0.0127153108561,0.0,0.0128222324621
Signature.5,0.0550195029655,0.0,0.0
Signature.6,0.226064621615,0.0,0.0
Signature.7,0.0134039993983,0.0519470299944,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.0255458781712,0.0,0.0
Signature.10,0.0516323667358,0.229675311954,0.0
Signature.11,0.0236204854017,0.0717471917908,0.0167604789461
Signature.12,0.0,0.0,0.0521687122056
Signature.13,0.0,0.0,0.0
Signature.14,0.088770910266,0.0,0.0207403458478
Signature.15,0.0,0.0,0.0
Signature.16,0.0,0.0,0.245079153911
Signature.17,0.0,0.0,0.0356150641233
Signature.18,0.0,0.0,0.0825550766277
Signature.19,0.0661874773098,0.0430540780738,0.0137527981375
Signature.20,0.030971567236,0.0,0.0
Signature.21,0.0590676772818,0.0,0.0
Signature.22,0.145110312906,0.140219159395,0.326270461742
Signature.23,0.142201539975,0.0195520516263,0.0138952937532
Signature.24,0.0,0.0,0.0228215481846
Signature.25,0.0,0.0,0.0
Signature.26,0.0,0.0157783222199,0.0117621095435
Signature.27,0.031125028718,0.0284645597777,0.0668443435013
Signature.28,0.0,0.0751562048346,0.0363327976203
Signature.29,0.0,0.324406090334,0.0425795833945
Signature.30,0.0,0.0,0.0
