,1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0367496434394
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0312586357022
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0331429191829
Signature.14,0.0844193722851
Signature.15,0.0
Signature.16,0.237925792404
Signature.17,0.0
Signature.18,0.0142523812197
Signature.19,0.0
Signature.20,0.0209744941143
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0
Signature.24,0.433270729884
Signature.25,0.0
Signature.26,0.0124677642087
Signature.27,0.0669435096369
Signature.28,0.0
Signature.29,0.0
Signature.30,0.028594757923
