,11,10,1:3:2:5:4:7:6:9:8
Signature.1,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0839581233847
Signature.3,0.0,0.0,0.0211537088188
Signature.4,0.241282660541,0.0,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.0,0.0,0.0170129629
Signature.7,0.106252065027,0.125167648527,0.0204785881941
Signature.8,0.0,0.117636836956,0.0
Signature.9,0.0,0.0,0.0
Signature.10,0.0,0.0893600831443,0.0
Signature.11,0.0,0.0,0.0
Signature.12,0.0,0.0,0.0
Signature.13,0.0287249403636,0.0,0.219040156965
Signature.14,0.0682955417397,0.0288036528924,0.0691396908481
Signature.15,0.0229623713707,0.0429820531311,0.0
Signature.16,0.0154665417554,0.0680479396567,0.0
Signature.17,0.043862335462,0.0148662394121,0.0
Signature.18,0.0642756678231,0.0,0.0393819675967
Signature.19,0.0,0.0,0.0
Signature.20,0.0462679277753,0.0379815557077,0.0198746519758
Signature.21,0.0,0.213173443441,0.0
Signature.22,0.0462511400484,0.122528708949,0.0397712102176
Signature.23,0.262298677303,0.0409040715248,0.0115440608085
Signature.24,0.0,0.0,0.0147506291528
Signature.25,0.0,0.0,0.023189051732
Signature.26,0.0239231067025,0.0488093497019,0.0457734941186
Signature.27,0.0,0.0,0.0
Signature.28,0.030137024088,0.0,0.0
Signature.29,0.0,0.0497384169562,0.358530155743
Signature.30,0.0,0.0,0.0164015475443
