,11,9:10,1:3:2:5:4:7:6,8
Signature.1,0.0,0.0897155520093,0.0,0.0
Signature.2,0.041637583395,0.0,0.0,0.0
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0186965375116,0.0475234306892,0.0,0.0
Signature.5,0.0,0.0,0.0,0.0196562847293
Signature.6,0.359621927404,0.0105222263609,0.0259334728422,0.0
Signature.7,0.0,0.0,0.0,0.0
Signature.8,0.0,0.0103056105999,0.0117199683055,0.0563293206541
Signature.9,0.0,0.0368311118962,0.0602082826586,0.0
Signature.10,0.0163731571083,0.110888236591,0.0,0.0
Signature.11,0.0193702923844,0.0,0.0,0.0
Signature.12,0.0,0.0,0.0,0.0105602657897
Signature.13,0.103326099758,0.010652726395,0.0,0.0752932324859
Signature.14,0.0,0.0364060983249,0.0173925785191,0.031258585451
Signature.15,0.0,0.0,0.0468114003731,0.0114819389249
Signature.16,0.0307951537477,0.0,0.0,0.222546127361
Signature.17,0.0,0.111119683782,0.147343708069,0.281009857683
Signature.18,0.0,0.0247179355924,0.156325436664,0.0
Signature.19,0.0433068538846,0.205179632513,0.0391265940925,0.0
Signature.20,0.0188352996452,0.0784650108021,0.034612555381,0.19628842596
Signature.21,0.0,0.0,0.0,0.0
Signature.22,0.0,0.0,0.363459148527,0.0
Signature.23,0.0171855736296,0.0,0.0295911204152,0.0
Signature.24,0.022812333739,0.0,0.0,0.0
Signature.25,0.142957342324,0.0499935236461,0.0,0.0
Signature.26,0.0,0.0,0.0530570860087,0.0
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.165081845469,0.0,0.0,0.0955759609612
Signature.29,0.0,0.0,0.0,0.0
Signature.30,0.0,0.177679220798,0.0144186481441,0.0
