,1:2,3:5:4:7:6:9:8
Signature.1,0.0,0.0193100432949
Signature.2,0.0,0.120037237123
Signature.3,0.0,0.0538105525698
Signature.4,0.403487600143,0.0164935914592
Signature.5,0.0387598492446,0.0
Signature.6,0.0,0.0
Signature.7,0.0,0.0
Signature.8,0.0431526528311,0.0
Signature.9,0.253677546009,0.0113014907535
Signature.10,0.0,0.0568666674654
Signature.11,0.0157262823217,0.0
Signature.12,0.0,0.0414272957772
Signature.13,0.0,0.0540612541642
Signature.14,0.0,0.0
Signature.15,0.0153160458096,0.0723877732695
Signature.16,0.0,0.0227571445292
Signature.17,0.0,0.0
Signature.18,0.0,0.0227785037362
Signature.19,0.0,0.0
Signature.20,0.0,0.0
Signature.21,0.0851214515434,0.0
Signature.22,0.0159991933541,0.073663363182
Signature.23,0.0,0.0913635869215
Signature.24,0.0,0.0
Signature.25,0.0450617081301,0.0246271447796
Signature.26,0.044306427066,0.0492512833189
Signature.27,0.0,0.195262130342
Signature.28,0.0393912435474,0.0
Signature.29,0.0,0.0211194597402
Signature.30,0.0,0.053481477573
