,1:3:2:4,5,7:6
Signature.1,0.0148271898778,0.0,0.0
Signature.2,0.0,0.0,0.0
Signature.3,0.0163772562334,0.0208002644404,0.0
Signature.4,0.0103469804256,0.0,0.0
Signature.5,0.0426809713599,0.017714332501,0.0
Signature.6,0.0987727213549,0.0811829147267,0.121056499645
Signature.7,0.211539833464,0.0,0.0
Signature.8,0.0,0.0719801591498,0.0116527707682
Signature.9,0.0,0.0190965709748,0.0705970945947
Signature.10,0.0185467476667,0.0,0.509829787356
Signature.11,0.103534890823,0.0,0.0110107131244
Signature.12,0.0826257694138,0.0,0.0
Signature.13,0.0482612482802,0.0370379369279,0.0
Signature.14,0.0,0.0473077334862,0.0441811464034
Signature.15,0.0,0.149017615336,0.0305989589856
Signature.16,0.0106597398708,0.0205273500809,0.0
Signature.17,0.0,0.0,0.0109994359336
Signature.18,0.0748842857783,0.209884105088,0.0
Signature.19,0.0,0.0,0.0
Signature.20,0.0,0.0542655728625,0.0
Signature.21,0.0221447339835,0.0,0.0274171367827
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0842734724194,0.097561613392
Signature.24,0.244797631468,0.0189237339204,0.0
Signature.25,0.0,0.128513757433,0.0103595394989
Signature.26,0.0,0.0,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.0,0.0,0.0
Signature.29,0.0,0.0394744806538,0.0547353035155
Signature.30,0.0,0.0,0.0
