,1:7,3:2:5:4:6
Signature.1,0.0,0.0
Signature.2,0.0,0.0
Signature.3,0.0,0.0
Signature.4,0.0,0.0518264070659
Signature.5,0.295474961384,0.0
Signature.6,0.0,0.0
Signature.7,0.0,0.0158450857916
Signature.8,0.0,0.0
Signature.9,0.0,0.0
Signature.10,0.0,0.0
Signature.11,0.0,0.143971827048
Signature.12,0.209128655722,0.06528110841
Signature.13,0.0,0.0
Signature.14,0.123250766533,0.0180894973337
Signature.15,0.0,0.0
Signature.16,0.0,0.0252035863445
Signature.17,0.0,0.0447250660612
Signature.18,0.0,0.181704652531
Signature.19,0.0451749604962,0.0
Signature.20,0.0,0.0
Signature.21,0.0,0.355189053191
Signature.22,0.0,0.0
Signature.23,0.0116370644384,0.0429070919647
Signature.24,0.0,0.0
Signature.25,0.0825694647179,0.0
Signature.26,0.0,0.0
Signature.27,0.0,0.0343769218413
Signature.28,0.209005293184,0.0
Signature.29,0.0,0.0
Signature.30,0.023758833523,0.0208797024163
