,11:9,10,1:3:2:5:4:7:6,8
Signature.1,0.0,0.0,0.0181753960989,0.0
Signature.2,0.177238598349,0.0601056703112,0.0,0.0
Signature.3,0.0,0.0,0.151623655696,0.0397446893664
Signature.4,0.0,0.0894873524428,0.0390054419745,0.0160343558755
Signature.5,0.0183710792822,0.0,0.0687776898041,0.102399168242
Signature.6,0.0,0.0,0.0,0.0571996238744
Signature.7,0.0395229348323,0.0367442777674,0.0645441306676,0.0234661230133
Signature.8,0.0346616731136,0.0302701709947,0.0,0.0
Signature.9,0.0614257449711,0.0261044978355,0.0,0.0
Signature.10,0.0,0.0539201655867,0.0,0.215678603561
Signature.11,0.0,0.172996001811,0.0,0.0
Signature.12,0.0113986509397,0.0,0.0,0.104441982894
Signature.13,0.0,0.0,0.291012925095,0.0
Signature.14,0.0313873857348,0.103585912358,0.0433694110614,0.0
Signature.15,0.0,0.0566920398249,0.0,0.0
Signature.16,0.0,0.10009978089,0.0,0.0
Signature.17,0.112678798305,0.125885259651,0.0,0.0
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.214754035161,0.0243403663855,0.0,0.187217339466
Signature.20,0.0317923750984,0.0,0.0488223346616,0.104590077857
Signature.21,0.0,0.0,0.0,0.0
Signature.22,0.0,0.0504004207683,0.0117603721699,0.126477757715
Signature.23,0.0,0.0502006820399,0.150643367402,0.0
Signature.24,0.0,0.0,0.0,0.0
Signature.25,0.0166387213085,0.0,0.0,0.0
Signature.26,0.0809512838708,0.0191674013331,0.0,0.0
Signature.27,0.0,0.0,0.0781447944896,0.0
Signature.28,0.169178719034,0.0,0.0170849006056,0.022750278135
Signature.29,0.0,0.0,0.017035580274,0.0
Signature.30,0.0,0.0,0.0,0.0
