,11:9,10,1:3:2:5:4:7:6:8
Signature.1,0.160688159402,0.0,0.0
Signature.2,0.158654679175,0.0,0.0
Signature.3,0.0,0.0,0.284975651367
Signature.4,0.0126469327478,0.0,0.0411758758057
Signature.5,0.0,0.0,0.0721278004914
Signature.6,0.03545030041,0.0,0.0
Signature.7,0.0,0.0690104905729,0.0251123975314
Signature.8,0.072544427566,0.0117673226783,0.104594330894
Signature.9,0.0,0.0698307001843,0.0
Signature.10,0.0121119631249,0.0,0.0
Signature.11,0.0,0.0,0.0
Signature.12,0.0350800034141,0.0,0.014129309246
Signature.13,0.0242671933125,0.0,0.0
Signature.14,0.0196777920882,0.0,0.0
Signature.15,0.0,0.30257139687,0.0
Signature.16,0.0285900517978,0.0,0.0
Signature.17,0.0,0.0489064126947,0.0
Signature.18,0.172902904433,0.0,0.0
Signature.19,0.0,0.0312643763321,0.0
Signature.20,0.0,0.282168791916,0.0255498832089
Signature.21,0.0,0.0226470262047,0.284691412692
Signature.22,0.0,0.0118796136135,0.0109681545959
Signature.23,0.0152772513779,0.0,0.0
Signature.24,0.0289250762155,0.0,0.0
Signature.25,0.0,0.132212563508,0.0
Signature.26,0.134530665894,0.0,0.0
Signature.27,0.0,0.0,0.136675184167
Signature.28,0.0464765917864,0.0,0.0
Signature.29,0.0421760072542,0.0177413054251,0.0
Signature.30,0.0,0.0,0.0
