,1:3:2:4,5:6,9:8:7
Signature.1,0.0,0.0,0.0177414318635
Signature.2,0.0,0.0742632873057,0.0
Signature.3,0.0146565067022,0.0,0.142537764467
Signature.4,0.0,0.0,0.0645020066982
Signature.5,0.0,0.0,0.0
Signature.6,0.0,0.0539020200847,0.0
Signature.7,0.208411768995,0.0,0.0
Signature.8,0.015429038157,0.0,0.0
Signature.9,0.0,0.283583848296,0.0
Signature.10,0.0,0.031985173672,0.0
Signature.11,0.0,0.0,0.176361290777
Signature.12,0.0467861487488,0.0350678331642,0.0
Signature.13,0.0,0.0,0.0488559592928
Signature.14,0.0,0.022393864861,0.0
Signature.15,0.0,0.0,0.0
Signature.16,0.0812441503818,0.0,0.11184492169
Signature.17,0.031000125574,0.0,0.0
Signature.18,0.0,0.177158318695,0.019250024535
Signature.19,0.0,0.0,0.0448865516048
Signature.20,0.428601656314,0.0,0.0
Signature.21,0.0,0.0,0.0
Signature.22,0.0,0.0,0.244246108608
Signature.23,0.0,0.0412660745346,0.0180611800367
Signature.24,0.0569146755176,0.0,0.0134483180053
Signature.25,0.0,0.110352758143,0.0
Signature.26,0.0,0.0,0.0
Signature.27,0.0,0.151025915981,0.0
Signature.28,0.0906890161465,0.0190009052634,0.0982644424217
Signature.29,0.0262669134633,0.0,0.0
Signature.30,0.0,0.0,0.0
