,11:9,10,1:3:2:5:4:7:6,8
Signature.1,0.0298694495992,0.0,0.0343584214903,0.0
Signature.2,0.0279100314151,0.0,0.0,0.0
Signature.3,0.296207509888,0.0,0.0,0.145057478033
Signature.4,0.0,0.0,0.0,0.0
Signature.5,0.0755298868666,0.0465126318611,0.0,0.0
Signature.6,0.0,0.0,0.0895598077055,0.0
Signature.7,0.0,0.0,0.0,0.030229731468
Signature.8,0.0,0.0,0.0145012664021,0.0
Signature.9,0.0920661287249,0.0986640496706,0.0,0.0
Signature.10,0.0139633744411,0.0107353918931,0.168161332206,0.0131028202337
Signature.11,0.016615084394,0.0734410129543,0.0,0.0
Signature.12,0.0,0.0,0.0,0.0245302238985
Signature.13,0.0,0.0,0.0,0.138454757371
Signature.14,0.0,0.232816418815,0.0374063470183,0.0
Signature.15,0.0215589326752,0.0866891476186,0.0156610209435,0.0
Signature.16,0.0,0.0486135974442,0.0,0.0
Signature.17,0.0,0.0,0.0,0.0
Signature.18,0.0,0.0,0.0,0.102547924476
Signature.19,0.0,0.0,0.0,0.0
Signature.20,0.0,0.0,0.0585774618391,0.0
Signature.21,0.0,0.171225051568,0.187529577151,0.0
Signature.22,0.0425603908865,0.0124939320248,0.0205072555287,0.0
Signature.23,0.0365967281574,0.0,0.0121525021094,0.0
Signature.24,0.0,0.0,0.0,0.0739361980874
Signature.25,0.0,0.0282402294158,0.0,0.0
Signature.26,0.306637347181,0.0,0.0,0.224784978685
Signature.27,0.0,0.0,0.062869017043,0.0469822734964
Signature.28,0.0404851357709,0.0,0.0,0.0
Signature.29,0.0,0.0301861366832,0.298715990562,0.200373614251
Signature.30,0.0,0.160382400051,0.0,0.0
