,11:10:1:2:5:7:6:9,3:4,8
Signature.1,0.0,0.0949715171645,0.0172798138454
Signature.2,0.353846785167,0.219809736007,0.0
Signature.3,0.0458086007621,0.0,0.145275278012
Signature.4,0.0135234949075,0.0113373238244,0.0
Signature.5,0.0127070413842,0.0728973595226,0.0
Signature.6,0.0435572557664,0.0,0.0
Signature.7,0.0,0.0,0.0
Signature.8,0.0,0.0,0.0181092554999
Signature.9,0.048545370903,0.0,0.0488472186868
Signature.10,0.158451076878,0.0452540580143,0.0
Signature.11,0.179667392223,0.0,0.0217099418181
Signature.12,0.0,0.0,0.0
Signature.13,0.0,0.0,0.0
Signature.14,0.0120254111579,0.082802852396,0.0145404761032
Signature.15,0.0,0.0,0.0782994534488
Signature.16,0.0,0.0,0.0
Signature.17,0.0,0.0,0.0245921248686
Signature.18,0.0279968170447,0.0,0.0
Signature.19,0.0,0.0,0.0727148504044
Signature.20,0.0,0.0,0.0105773067655
Signature.21,0.0,0.0,0.0645130025878
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0157378791665
Signature.24,0.0620668600501,0.0542586298132,0.0
Signature.25,0.0,0.102396831663,0.0856744953843
Signature.26,0.0134585750037,0.0,0.0438329234518
Signature.27,0.0,0.0,0.0201004275302
Signature.28,0.0283453187525,0.0406657113418,0.318195552427
Signature.29,0.0,0.0,0.0
Signature.30,0.0,0.275605980253,0.0
