,1:3:2:5:4:7:6:9:8
Signature.1,0.0557266599314
Signature.2,0.0512142848935
Signature.3,0.145202521824
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0
Signature.7,0.160960497687
Signature.8,0.0
Signature.9,0.0107055280219
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.263126718493
Signature.14,0.0
Signature.15,0.0224374694961
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0385506339858
Signature.20,0.0873236306845
Signature.21,0.0
Signature.22,0.0137406613737
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0140779840006
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0
Signature.30,0.136933409609
