,11:10:1:2:9:8,3:4,5,7:6
Signature.1,0.0481872451744,0.0139237219668,0.0,0.0
Signature.2,0.0,0.0,0.0,0.0316175474498
Signature.3,0.0276654140933,0.0,0.0,0.0633088782545
Signature.4,0.0,0.0189583668879,0.0,0.0
Signature.5,0.0236577724794,0.0108657801225,0.0,0.163681349301
Signature.6,0.0264937846635,0.0905008976773,0.0,0.0825923803057
Signature.7,0.045497159705,0.0,0.0,0.0
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.280406122479,0.0,0.0413110242767,0.0
Signature.10,0.0,0.0,0.0,0.0
Signature.11,0.0,0.0,0.0227601215831,0.0
Signature.12,0.0,0.0,0.0,0.0
Signature.13,0.0,0.0334172726733,0.0,0.0
Signature.14,0.0964791511094,0.0,0.0,0.0
Signature.15,0.0,0.0283760530244,0.0817484498749,0.0
Signature.16,0.0,0.0,0.0,0.123258812513
Signature.17,0.0,0.0120456267302,0.0,0.0
Signature.18,0.0,0.0,0.0,0.235699329886
Signature.19,0.0,0.087691680542,0.0815407224064,0.0
Signature.20,0.0,0.0,0.0337340447523,0.0
Signature.21,0.0,0.0,0.0,0.0
Signature.22,0.0,0.0,0.581119613496,0.267792103374
Signature.23,0.0,0.608038452123,0.0,0.0
Signature.24,0.0168874270514,0.0,0.0,0.0
Signature.25,0.0,0.0108770399796,0.0678784567417,0.0
Signature.26,0.129093112327,0.0,0.0,0.0320495989155
Signature.27,0.194843053546,0.0,0.0,0.0
Signature.28,0.0,0.0297011870395,0.0899075668683,0.0
Signature.29,0.0749477651752,0.055603921234,0.0,0.0
Signature.30,0.0358419921959,0.0,0.0,0.0
