,1:2:5:4:7:6:9:8,3
Signature.1,0.0,0.0
Signature.2,0.0,0.0
Signature.3,0.121526585216,0.0157530849225
Signature.4,0.0,0.057766176754
Signature.5,0.0,0.0517721609757
Signature.6,0.20063554014,0.0
Signature.7,0.0494677806597,0.0
Signature.8,0.0480242188256,0.0
Signature.9,0.026525856566,0.0
Signature.10,0.0,0.0
Signature.11,0.242274213499,0.0
Signature.12,0.0,0.0216052921273
Signature.13,0.118247287837,0.0795929209125
Signature.14,0.0,0.0817410792451
Signature.15,0.0,0.0
Signature.16,0.0,0.028719639359
Signature.17,0.0270025131426,0.0
Signature.18,0.0282973651537,0.0
Signature.19,0.052024197633,0.0
Signature.20,0.0,0.0207384075834
Signature.21,0.0,0.0
Signature.22,0.0,0.0
Signature.23,0.0289153626664,0.0992152538782
Signature.24,0.0,0.0569490806761
Signature.25,0.0195193334287,0.0980903857348
Signature.26,0.0,0.174164818708
Signature.27,0.0,0.10875000336
Signature.28,0.0375397452312,0.105141695763
Signature.29,0.0,0.0
Signature.30,0.0,0.0
