,11:10:12:1:3:2:5:4:7:6:9:8,13
Signature.1,0.0,0.0423834719648
Signature.2,0.0,0.0120713909871
Signature.3,0.128043902614,0.029722203605
Signature.4,0.0,0.0273115488703
Signature.5,0.0,0.0
Signature.6,0.0,0.0
Signature.7,0.0,0.132742869853
Signature.8,0.152600656179,0.0561337928172
Signature.9,0.0,0.0251110277239
Signature.10,0.0,0.0
Signature.11,0.0118933826799,0.0
Signature.12,0.0,0.296975517248
Signature.13,0.180482580038,0.0
Signature.14,0.0,0.0
Signature.15,0.0,0.0146102999425
Signature.16,0.0,0.0132804423883
Signature.17,0.0837925036433,0.0159190290191
Signature.18,0.0,0.17578879425
Signature.19,0.0,0.0
Signature.20,0.0,0.0
Signature.21,0.0,0.0
Signature.22,0.375273363746,0.0609774637529
Signature.23,0.0,0.0
Signature.24,0.0109331565546,0.0
Signature.25,0.0,0.0
Signature.26,0.0116205486839,0.0366010173191
Signature.27,0.0,0.0
Signature.28,0.0110908397849,0.0
Signature.29,0.0,0.0
Signature.30,0.0342690660768,0.0603711302589
