,11:10:13:12:7:6:9:8,1:3:2:5:4
Signature.1,0.150616969067,0.0555660208002
Signature.2,0.0,0.0193551448018
Signature.3,0.0,0.0
Signature.4,0.0,0.0
Signature.5,0.0439677642218,0.186890033881
Signature.6,0.0107775972346,0.0
Signature.7,0.0984113276355,0.0
Signature.8,0.141744146927,0.0
Signature.9,0.0,0.0
Signature.10,0.0,0.011253554452
Signature.11,0.0802061831952,0.0576677904729
Signature.12,0.0,0.0
Signature.13,0.0,0.0
Signature.14,0.0365898335678,0.0
Signature.15,0.0231304538559,0.0222616692264
Signature.16,0.182264191417,0.0504538762847
Signature.17,0.0,0.0
Signature.18,0.0667582535713,0.0
Signature.19,0.141267196815,0.143477278019
Signature.20,0.0128313588832,0.0
Signature.21,0.0,0.012207351825
Signature.22,0.0,0.268346936123
Signature.23,0.0,0.0
Signature.24,0.0,0.0
Signature.25,0.0,0.0
Signature.26,0.0,0.0
Signature.27,0.0,0.0
Signature.28,0.0,0.0
Signature.29,0.0114347236095,0.172520344113
Signature.30,0.0,0.0
