,11:10:13:1:3:5:4:7:9:8,12,2,6
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0,0.0
Signature.3,0.0201708940689,0.0187586521136,0.0,0.0
Signature.4,0.011878461609,0.0,0.0,0.0
Signature.5,0.018798862687,0.0647241370643,0.0,0.0
Signature.6,0.0486826437547,0.0,0.0,0.0
Signature.7,0.0,0.156780678887,0.0,0.0
Signature.8,0.0,0.0533213271393,0.0,0.0
Signature.9,0.0,0.0,0.0419781428199,0.0220278391623
Signature.10,0.0,0.0,0.0,0.0
Signature.11,0.0,0.128546806507,0.211847017944,0.020287176044
Signature.12,0.0,0.0,0.0,0.0
Signature.13,0.012600123438,0.23216598451,0.0,0.0184843830883
Signature.14,0.0,0.0,0.0,0.0
Signature.15,0.147245322474,0.106271585987,0.0,0.0110518682553
Signature.16,0.0,0.0,0.0304821893923,0.0
Signature.17,0.0,0.0,0.020836295796,0.0
Signature.18,0.0244312780481,0.0,0.231844770262,0.0
Signature.19,0.0,0.0654622745468,0.0,0.015440852157
Signature.20,0.173881132686,0.0,0.0,0.0734192773981
Signature.21,0.0423449757645,0.0,0.0,0.0
Signature.22,0.0251066517664,0.0,0.0317960235095,0.0
Signature.23,0.0,0.0103479326344,0.103716127068,0.127679229848
Signature.24,0.0254148147137,0.0431928433244,0.0,0.393994103608
Signature.25,0.019532025068,0.10402278136,0.203901915022,0.0
Signature.26,0.0,0.0,0.0224091048462,0.242660489251
Signature.27,0.0288352995722,0.0164049959266,0.0,0.0
Signature.28,0.297579988696,0.0,0.0358156919675,0.0523139579542
Signature.29,0.103497525654,0.0,0.0653727213727,0.0226408232334
Signature.30,0.0,0.0,0.0,0.0
