,11:10:13:12:1:4:6:9:8,3:2,5,7
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0,0.2961837318,0.0,0.0
Signature.3,0.0332286325489,0.0,0.0375782144929,0.0
Signature.4,0.225179190393,0.0,0.0340863401331,0.0
Signature.5,0.0,0.0,0.0,0.0
Signature.6,0.0,0.0169849987765,0.0231861370483,0.0
Signature.7,0.0,0.0174511973233,0.0,0.0391470905594
Signature.8,0.0,0.0,0.0,0.0471661016422
Signature.9,0.0,0.0,0.0,0.14046907427
Signature.10,0.0787468520507,0.055341780374,0.134914405651,0.0237448834878
Signature.11,0.0,0.0,0.112202429611,0.0
Signature.12,0.0,0.0,0.0,0.0
Signature.13,0.267159309516,0.0125300547661,0.1241674201,0.0798787880913
Signature.14,0.0,0.0121908480585,0.0,0.0
Signature.15,0.0,0.208309498012,0.0,0.0
Signature.16,0.0118676385461,0.0,0.0449302814517,0.0315977733563
Signature.17,0.051342072888,0.0,0.0314262596656,0.0592899912705
Signature.18,0.0309599045178,0.0,0.081712800695,0.0810962488642
Signature.19,0.0176148352392,0.0,0.0168044088557,0.0
Signature.20,0.0283634629776,0.0,0.0215325603973,0.0
Signature.21,0.0,0.0,0.0700448749729,0.0958899269305
Signature.22,0.0,0.0,0.10162879504,0.0
Signature.23,0.255538101322,0.0,0.0824650825594,0.0539641710269
Signature.24,0.0,0.0,0.0,0.0817682193296
Signature.25,0.0,0.0,0.0,0.0
Signature.26,0.0,0.0,0.0,0.110922465145
Signature.27,0.0,0.247620175313,0.055263475676,0.0
Signature.28,0.0,0.101199630583,0.0,0.0628956680487
Signature.29,0.0,0.0321880849932,0.0,0.0
Signature.30,0.0,0.0,0.0280565136498,0.0921695979778
