,11:3:5:4:7:6:8,9:10,1,2
Signature.1,0.0608592697776,0.0,0.0,0.0523242351819
Signature.2,0.0642919962408,0.0,0.0,0.0
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0,0.250774872455,0.0244534792431,0.0
Signature.5,0.0817122011136,0.0,0.194822296015,0.0
Signature.6,0.0469277739556,0.0,0.0,0.0
Signature.7,0.0,0.0,0.0,0.0
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.0,0.107449903187,0.0,0.04249518127
Signature.10,0.0196944058863,0.0,0.0,0.0
Signature.11,0.0942268110646,0.0176295623832,0.0,0.0559882985883
Signature.12,0.0,0.056976121225,0.0,0.0
Signature.13,0.0,0.0697903715452,0.115595378086,0.0
Signature.14,0.0,0.0,0.0,0.0
Signature.15,0.21493870013,0.100362419269,0.0,0.0
Signature.16,0.0145685540704,0.095285395022,0.0,0.185229996279
Signature.17,0.0449685377155,0.0,0.0,0.0668395855379
Signature.18,0.0172217876752,0.0248441909404,0.0,0.133181572883
Signature.19,0.0120194806592,0.0153297190738,0.377171373314,0.0
Signature.20,0.0,0.0,0.0,0.0
Signature.21,0.01906037282,0.0,0.0259202577583,0.0
Signature.22,0.0,0.182373364207,0.202837424619,0.0859349688011
Signature.23,0.138250947873,0.0,0.0,0.0674635236711
Signature.24,0.0176233296002,0.0,0.0429593044605,0.0
Signature.25,0.0,0.046006772335,0.0,0.0294539345201
Signature.26,0.0723858077911,0.0,0.0,0.0
Signature.27,0.0,0.0,0.0,0.147582378196
Signature.28,0.0,0.0,0.0162404865045,0.0
Signature.29,0.0,0.0138793987277,0.0,0.0
Signature.30,0.0812500236277,0.019297909629,0.0,0.133506325072
