,11:2,10:3:5:4:7:6:9:8,1:13:12
Signature.1,0.0,0.0,0.0926241392422
Signature.2,0.0,0.121615260866,0.0641297519508
Signature.3,0.0,0.0,0.0272381290346
Signature.4,0.0,0.0,0.0373561425633
Signature.5,0.0,0.0,0.0
Signature.6,0.0,0.0296413125288,0.0211741758986
Signature.7,0.0,0.0217106465136,0.0212187654431
Signature.8,0.0530375274623,0.0499557772837,0.0
Signature.9,0.0,0.0,0.0
Signature.10,0.0588240229375,0.0,0.0
Signature.11,0.0480206096547,0.0,0.0
Signature.12,0.101624441554,0.0,0.0
Signature.13,0.0,0.0,0.0
Signature.14,0.0,0.0,0.0
Signature.15,0.0131477875024,0.0,0.0
Signature.16,0.0,0.0,0.0
Signature.17,0.0774513094506,0.0476744572836,0.0
Signature.18,0.28573320889,0.0,0.262552907238
Signature.19,0.0,0.0122162840058,0.0
Signature.20,0.0,0.0,0.0
Signature.21,0.144785904092,0.0141237392373,0.0
Signature.22,0.0425816170996,0.0,0.0
Signature.23,0.0,0.0253030880651,0.0
Signature.24,0.0678523798144,0.398159164847,0.0
Signature.25,0.0,0.0,0.0
Signature.26,0.0608750705501,0.0,0.0840271954782
Signature.27,0.0,0.0617554143168,0.389678793151
Signature.28,0.0128758308874,0.0552900107764,0.0
Signature.29,0.0177706012568,0.162554844276,0.0
Signature.30,0.0154196888483,0.0,0.0
