,11:10:13:12:1:3:2:4:7:6:9:8,5
Signature.1,0.0,0.0
Signature.2,0.05601877128,0.0
Signature.3,0.0,0.25397100868
Signature.4,0.0,0.0
Signature.5,0.0,0.0
Signature.6,0.0136190890276,0.0
Signature.7,0.0,0.0318502822979
Signature.8,0.257901326454,0.0
Signature.9,0.0486561496379,0.0
Signature.10,0.0888354829511,0.108077726686
Signature.11,0.0,0.0
Signature.12,0.0,0.0
Signature.13,0.0200389903878,0.0
Signature.14,0.0491173104883,0.0
Signature.15,0.0296304671679,0.0
Signature.16,0.0309834032978,0.0
Signature.17,0.0,0.0
Signature.18,0.0786262223931,0.0
Signature.19,0.153327755364,0.0150226121918
Signature.20,0.0,0.205696277145
Signature.21,0.0,0.0
Signature.22,0.0,0.0799003379834
Signature.23,0.0,0.0740446968615
Signature.24,0.0282803406691,0.0
Signature.25,0.0,0.0346649589513
Signature.26,0.0,0.054804162953
Signature.27,0.119264577485,0.0
Signature.28,0.014722852546,0.0
Signature.29,0.0,0.14196793625
Signature.30,0.0109772608503,0.0
