,11:10:12:1:3:2:4:7:9:8,13,5,6
Signature.1,0.0,0.0452850041311,0.0471248047753,0.0
Signature.2,0.0,0.0,0.0,0.0
Signature.3,0.16133078942,0.0167593629029,0.0,0.0
Signature.4,0.01871068063,0.0,0.0576985578232,0.0
Signature.5,0.0,0.0,0.0780985302309,0.0
Signature.6,0.0743295569467,0.182345030467,0.0231699197055,0.172796776007
Signature.7,0.0,0.0,0.012239452908,0.0835134484903
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.129746143654,0.12463389313,0.0,0.0715672746814
Signature.10,0.0,0.0,0.151598220508,0.0
Signature.11,0.0,0.0,0.0,0.0
Signature.12,0.0,0.0,0.0,0.0
Signature.13,0.194035939886,0.0614594603103,0.0324923216774,0.0
Signature.14,0.0,0.0482727035763,0.127452233216,0.0
Signature.15,0.0694637412054,0.0783030561613,0.137203885115,0.0
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0,0.022824702177,0.0196334318646,0.0129933440591
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.0,0.0136527486949,0.0652509000018,0.0
Signature.20,0.0,0.0123118274018,0.0797946620522,0.0197287470264
Signature.21,0.0,0.113313996614,0.0,0.0125586112433
Signature.22,0.172087380417,0.0,0.0,0.0
Signature.23,0.0605755163255,0.214257690458,0.0,0.011416962458
Signature.24,0.0,0.0,0.0,0.0
Signature.25,0.0,0.0,0.0256367206975,0.100352781574
Signature.26,0.0114537197521,0.0,0.0,0.0
Signature.27,0.0633081629882,0.0191670846076,0.0364559900663,0.360953822959
Signature.28,0.0,0.047413439367,0.0912673896738,0.0
Signature.29,0.0449583687754,0.0,0.0,0.0177784348336
Signature.30,0.0,0.0,0.0148829796845,0.136339796668
