,11:10:13:12:1:3:2:5:4:7:6:8,9
Signature.1,0.0,0.126876367316
Signature.2,0.0208008656079,0.127407191512
Signature.3,0.119053716666,0.0
Signature.4,0.0916810229673,0.0
Signature.5,0.0,0.0
Signature.6,0.0222338653109,0.0271152487032
Signature.7,0.0713955643181,0.0
Signature.8,0.0,0.0
Signature.9,0.0,0.0
Signature.10,0.0,0.0
Signature.11,0.0229153330613,0.0403709202022
Signature.12,0.0697735808048,0.241009267006
Signature.13,0.349135543265,0.0
Signature.14,0.0281218843548,0.0726301816315
Signature.15,0.0,0.0
Signature.16,0.0357561204433,0.0
Signature.17,0.0590210241043,0.0
Signature.18,0.0231846761827,0.0
Signature.19,0.0297836979523,0.0958596555221
Signature.20,0.0191087087542,0.0
Signature.21,0.0,0.0
Signature.22,0.0,0.0271115901728
Signature.23,0.0,0.0956405557982
Signature.24,0.0,0.0145698893668
Signature.25,0.0,0.0818825290342
Signature.26,0.0178517582673,0.0
Signature.27,0.0,0.0
Signature.28,0.0,0.0331267037864
Signature.29,0.0201826379404,0.0
Signature.30,0.0,0.0163998999479
