,11:9:13:12:10,1:3:2:5:4:6,7,8
Signature.1,0.0,0.0,0.0,0.0152777390875
Signature.2,0.218643661534,0.0,0.505517802441,0.0
Signature.3,0.0,0.0,0.0328775968468,0.177110989518
Signature.4,0.0238862310243,0.0,0.0392883013335,0.0
Signature.5,0.0,0.0976010440887,0.0,0.0
Signature.6,0.0207891395022,0.0,0.0,0.20680819199
Signature.7,0.0,0.0,0.0,0.0
Signature.8,0.0245627473517,0.0988710192136,0.0354113652198,0.0204055948733
Signature.9,0.0,0.0,0.0,0.0
Signature.10,0.0,0.0,0.0,0.0172767327348
Signature.11,0.0,0.0639931850829,0.0393834250585,0.0297630319788
Signature.12,0.0,0.0241960912818,0.052368760102,0.0957700894586
Signature.13,0.208040949238,0.0,0.0106195810978,0.181862807169
Signature.14,0.0707728054831,0.0,0.0753220066784,0.0647376343277
Signature.15,0.0,0.0,0.0,0.0
Signature.16,0.110266196812,0.0,0.0,0.0
Signature.17,0.0119382777614,0.0,0.0,0.0
Signature.18,0.0,0.0782593042469,0.0155019201578,0.0
Signature.19,0.0,0.0,0.0,0.0
Signature.20,0.0,0.136434089671,0.0346050986718,0.0614450080685
Signature.21,0.0257126122232,0.0,0.0,0.0
Signature.22,0.0,0.0687779956499,0.0,0.0
Signature.23,0.0,0.0,0.0,0.0
Signature.24,0.0,0.0,0.0858706239105,0.0
Signature.25,0.0,0.316461652867,0.0,0.0
Signature.26,0.0,0.0,0.0732335184818,0.0142004045161
Signature.27,0.0,0.0834406101912,0.0,0.115341776278
Signature.28,0.0207868099204,0.0,0.0,0.0
Signature.29,0.0,0.0,0.0,0.0
Signature.30,0.264600569151,0.0319650077069,0.0,0.0
