,11:8:9:5:10,1:3:2:4,7:6
Signature.1,0.012740465316,0.0,0.0
Signature.2,0.0153258514466,0.0,0.0
Signature.3,0.0156548055373,0.174679351505,0.0
Signature.4,0.0,0.0389356188829,0.0
Signature.5,0.0,0.088532101095,0.219231032772
Signature.6,0.016302456268,0.0,0.0560198699752
Signature.7,0.0,0.0,0.109283579313
Signature.8,0.0269456896246,0.0,0.116761737348
Signature.9,0.0,0.0,0.0200457185333
Signature.10,0.0785640332613,0.0,0.0
Signature.11,0.0,0.0,0.0
Signature.12,0.0720288021681,0.109293238786,0.0109499431507
Signature.13,0.0972689788007,0.0,0.0
Signature.14,0.0577069430468,0.0,0.0
Signature.15,0.174901982117,0.0,0.0534765216654
Signature.16,0.0142024154536,0.0943754961651,0.0865338601479
Signature.17,0.0418613248017,0.0,0.0
Signature.18,0.0,0.0743126432443,0.0385342588363
Signature.19,0.0,0.0347022925988,0.0479170050858
Signature.20,0.0217241094014,0.0955341193978,0.0611447635193
Signature.21,0.0,0.0492377096872,0.0191623161049
Signature.22,0.0716754100144,0.0,0.0407033257262
Signature.23,0.112023295276,0.0779286717964,0.0
Signature.24,0.0536639903414,0.0,0.0
Signature.25,0.0,0.0582164582193,0.0
Signature.26,0.0,0.0,0.030063249331
Signature.27,0.0,0.0279497742589,0.0
Signature.28,0.0,0.0,0.0901728184913
Signature.29,0.117409447124,0.058456953346,0.0
Signature.30,0.0,0.0178455710178,0.0
