,11:10:13:1:3:2:5:4:7:6:9:8,12
Signature.1,0.0243847523852,0.0211066637596
Signature.2,0.0,0.0549764240093
Signature.3,0.0904082605282,0.0
Signature.4,0.0,0.0404258255552
Signature.5,0.0,0.0371026087412
Signature.6,0.129028580565,0.0418922717172
Signature.7,0.0144842982683,0.0
Signature.8,0.0161086661274,0.0103501670262
Signature.9,0.0115472374132,0.0207286188017
Signature.10,0.0,0.0188682760168
Signature.11,0.0,0.0165310147132
Signature.12,0.0,0.0
Signature.13,0.0282820842548,0.0
Signature.14,0.0,0.216229803236
Signature.15,0.0,0.0178219795667
Signature.16,0.0118215006272,0.313234819595
Signature.17,0.0,0.0158027898758
Signature.18,0.0,0.0261500595418
Signature.19,0.119249259776,0.0
Signature.20,0.327319881487,0.0
Signature.21,0.0,0.0157236939616
Signature.22,0.0217404919601,0.0
Signature.23,0.0,0.0
Signature.24,0.0,0.0
Signature.25,0.177587117741,0.0117892489041
Signature.26,0.0,0.0516192453923
Signature.27,0.0,0.0
Signature.28,0.0,0.0476616742296
Signature.29,0.0,0.021984815357
Signature.30,0.0280378688673,0.0
