,11:10:13:12:1:3:2:5:4:7:6:9,8
Signature.1,0.10138536419,0.0
Signature.2,0.0807125101753,0.0165898749891
Signature.3,0.0,0.0200754058052
Signature.4,0.0244946759039,0.0
Signature.5,0.0921271385863,0.0
Signature.6,0.0655722343542,0.0309186331005
Signature.7,0.0299532904896,0.0
Signature.8,0.0454784569003,0.0
Signature.9,0.0,0.0
Signature.10,0.170729788946,0.0
Signature.11,0.0,0.0320244395459
Signature.12,0.0608389014047,0.0
Signature.13,0.0,0.0590684843598
Signature.14,0.0,0.0185647375122
Signature.15,0.0103626243906,0.0911092682361
Signature.16,0.0646203041488,0.0
Signature.17,0.0,0.0106699988402
Signature.18,0.0,0.0411250242679
Signature.19,0.0,0.0
Signature.20,0.0,0.0158478726664
Signature.21,0.0388885667509,0.139409791689
Signature.22,0.0694124278237,0.0
Signature.23,0.0146888677335,0.0
Signature.24,0.0619070594164,0.0
Signature.25,0.0,0.238381671972
Signature.26,0.0,0.0
Signature.27,0.0,0.0
Signature.28,0.0688277887858,0.0
Signature.29,0.0,0.192230162275
Signature.30,0.0,0.0939846347409
