,11:10:1:12:2,13,3:5:4:6:9:8,7
Signature.1,0.0,0.0,0.0,0.01629158151
Signature.2,0.0177531014419,0.0906440544119,0.0,0.180223974835
Signature.3,0.0773168608097,0.11954083158,0.0910255890994,0.0
Signature.4,0.0,0.0,0.0365674401238,0.0219921731123
Signature.5,0.0,0.0,0.0191899087835,0.258659435933
Signature.6,0.0896754971065,0.0,0.0153144504529,0.0
Signature.7,0.0,0.0,0.0135215599459,0.0165914201398
Signature.8,0.0749974643091,0.159129360553,0.0233713452475,0.0
Signature.9,0.0139968649894,0.0,0.12941289995,0.0
Signature.10,0.0,0.0,0.0293041574973,0.103335266384
Signature.11,0.0,0.0,0.0916868894557,0.0
Signature.12,0.0,0.0,0.0,0.0
Signature.13,0.0,0.0,0.068376918486,0.0238866138351
Signature.14,0.0721347881639,0.016178972682,0.0,0.0
Signature.15,0.0,0.0,0.0,0.0337820891227
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0,0.0571551329789,0.0,0.0
Signature.18,0.0701140368716,0.0,0.0,0.0
Signature.19,0.0,0.0132505761872,0.0462455614735,0.0
Signature.20,0.0145776733206,0.0,0.0,0.0198698131282
Signature.21,0.0,0.114438152695,0.0,0.058209430406
Signature.22,0.0,0.0169649308735,0.0,0.0434208267258
Signature.23,0.382752635239,0.0,0.179613172118,0.0163204297659
Signature.24,0.0,0.0,0.0,0.0
Signature.25,0.0,0.307457500563,0.0,0.121127484671
Signature.26,0.0,0.0,0.171045714444,0.018850810421
Signature.27,0.0,0.034556564394,0.0344073526807,0.0
Signature.28,0.136437019566,0.0,0.0,0.0674386500105
Signature.29,0.0502440581823,0.0,0.0407085478822,0.0
Signature.30,0.0,0.0706839230821,0.0102084923594,0.0
