,11:10:1:7:9:8,3:2,5:6,4
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0706016804757,0.0,0.0,0.0
Signature.3,0.0115721768829,0.0,0.0,0.0
Signature.4,0.0,0.0363346759181,0.0,0.0
Signature.5,0.0,0.0877348157473,0.107197504809,0.0399584781275
Signature.6,0.0574093536621,0.0,0.0,0.0109912126053
Signature.7,0.0,0.079086389759,0.0,0.0497659773183
Signature.8,0.287591399238,0.0,0.0267211270497,0.0702251527658
Signature.9,0.0,0.0,0.0,0.0309893442357
Signature.10,0.0893565049098,0.0,0.0,0.106443051455
Signature.11,0.0,0.0,0.192859936532,0.0204985372621
Signature.12,0.0,0.223585610298,0.0,0.0306430362933
Signature.13,0.0,0.198745309528,0.0317841715583,0.0
Signature.14,0.0,0.130684112269,0.0,0.0
Signature.15,0.162518946105,0.0296561342104,0.0,0.0
Signature.16,0.0,0.013406888587,0.0,0.10807720846
Signature.17,0.0688218594901,0.169487011799,0.0,0.0257169183279
Signature.18,0.0,0.0122356701048,0.0152643403058,0.109071174588
Signature.19,0.0,0.0,0.0,0.0
Signature.20,0.0,0.0,0.0105170937113,0.16375517215
Signature.21,0.04403604243,0.0,0.0917794402643,0.112716543643
Signature.22,0.0,0.0,0.105060972803,0.0
Signature.23,0.0,0.0,0.0,0.0
Signature.24,0.0,0.0190433817795,0.0625809663871,0.0
Signature.25,0.138121233948,0.0,0.0,0.0155276022225
Signature.26,0.0699708028591,0.0,0.0358152059494,0.0
Signature.27,0.0,0.0,0.237910228667,0.0236497897314
Signature.28,0.0,0.0,0.0477179185125,0.0566796683423
Signature.29,0.0,0.0,0.0347910934506,0.0252911324715
Signature.30,0.0,0.0,0.0,0.0
