,11:3:5:4:6,9:10:7:8,1:2
Signature.1,0.0,0.258874799425,0.0
Signature.2,0.0,0.0,0.0
Signature.3,0.0150083138725,0.0,0.0123012821482
Signature.4,0.0106631521404,0.0,0.0
Signature.5,0.0220498407844,0.0,0.0
Signature.6,0.0,0.0,0.0
Signature.7,0.0172650659926,0.0,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.117788194002,0.0,0.0
Signature.10,0.0285121044327,0.0,0.17463518712
Signature.11,0.0,0.0,0.0340851501715
Signature.12,0.0,0.0,0.0
Signature.13,0.406293874752,0.331976310249,0.0152477725722
Signature.14,0.0,0.0,0.0
Signature.15,0.0,0.152734373578,0.576407698513
Signature.16,0.0,0.109210626421,0.0
Signature.17,0.164149050564,0.0,0.0246732618396
Signature.18,0.0,0.0203243687959,0.0
Signature.19,0.0,0.026840416843,0.0
Signature.20,0.0530487874848,0.0,0.0
Signature.21,0.0,0.0,0.0517056674604
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.0,0.0
Signature.26,0.0,0.07628233384,0.0
Signature.27,0.0818842445246,0.0,0.110943980175
Signature.28,0.0,0.0,0.0
Signature.29,0.0833373714497,0.0,0.0
Signature.30,0.0,0.0237567708477,0.0
