,11:10:13:12:1:3:2:7:6:9:8,5:4
Signature.1,0.0,0.0809338598032
Signature.2,0.0223991712365,0.0232964493408
Signature.3,0.172052683936,0.0
Signature.4,0.0,0.0
Signature.5,0.0,0.052550390632
Signature.6,0.0966621675802,0.0
Signature.7,0.0243864969563,0.0195048583725
Signature.8,0.014166038644,0.0102942652939
Signature.9,0.160577189678,0.0798321623754
Signature.10,0.0,0.0
Signature.11,0.0370638804768,0.0
Signature.12,0.0248109013277,0.393016096998
Signature.13,0.231488579758,0.0
Signature.14,0.0,0.0
Signature.15,0.0,0.0
Signature.16,0.0,0.0338081968892
Signature.17,0.0,0.0
Signature.18,0.0,0.0
Signature.19,0.0,0.0
Signature.20,0.0,0.0
Signature.21,0.0,0.0982294025723
Signature.22,0.0884403922311,0.0
Signature.23,0.0,0.0
Signature.24,0.029992408,0.0349444583855
Signature.25,0.0,0.0
Signature.26,0.0,0.0120625442176
Signature.27,0.0,0.0
Signature.28,0.0,0.149902341064
Signature.29,0.0979600901753,0.0
Signature.30,0.0,0.0116249740551
