,11:13:12,10:1:3:2:5:4:7:6:9:8
Signature.1,0.0,0.0
Signature.2,0.0,0.0242366711507
Signature.3,0.0630447651024,0.0
Signature.4,0.0,0.0
Signature.5,0.0356622089106,0.04694557395
Signature.6,0.030401796014,0.0
Signature.7,0.0475873996596,0.0
Signature.8,0.0,0.0
Signature.9,0.0,0.134102626241
Signature.10,0.166274103923,0.0
Signature.11,0.0,0.0
Signature.12,0.0,0.0
Signature.13,0.0,0.0
Signature.14,0.0,0.119617712296
Signature.15,0.149129927464,0.0
Signature.16,0.0,0.0504731744136
Signature.17,0.108011030923,0.0
Signature.18,0.0275577080667,0.0150693930782
Signature.19,0.0,0.0240699118873
Signature.20,0.0,0.308521834543
Signature.21,0.0,0.0
Signature.22,0.0,0.013738912075
Signature.23,0.0317169063801,0.228682913849
Signature.24,0.0,0.0
Signature.25,0.020316983847,0.0240778216744
Signature.26,0.189650927664,0.0
Signature.27,0.0,0.0
Signature.28,0.028906994047,0.0
Signature.29,0.0,0.0
Signature.30,0.101739247999,0.0104634548413
