,11:13:12:1:2:5:7:6,9:10:8,3,4
Signature.1,0.0,0.0,0.246497859845,0.0
Signature.2,0.0,0.118042233341,0.0728863051955,0.0
Signature.3,0.196548395861,0.0292704042162,0.0,0.0
Signature.4,0.0,0.0,0.0,0.0
Signature.5,0.0,0.0,0.0323790119495,0.0784426573404
Signature.6,0.263467142172,0.0,0.0341823413745,0.0
Signature.7,0.0167549717717,0.0,0.0,0.0
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.0,0.0,0.0,0.0
Signature.10,0.0215987607188,0.0,0.0,0.0124220819805
Signature.11,0.0778556675238,0.0,0.0,0.0
Signature.12,0.0274750596945,0.016333856217,0.0,0.0
Signature.13,0.0145376639232,0.0,0.152320559045,0.0
Signature.14,0.0896023852014,0.0,0.0,0.110482235176
Signature.15,0.0,0.301816547373,0.0,0.186283998207
Signature.16,0.0,0.0749717937624,0.0,0.202376543098
Signature.17,0.0,0.0,0.05174387009,0.0
Signature.18,0.0705750536682,0.0744587696936,0.0,0.0
Signature.19,0.0,0.0,0.0,0.0
Signature.20,0.0761942510881,0.101421667102,0.0,0.0
Signature.21,0.0518910340196,0.0615917697615,0.0195784129212,0.0439167268452
Signature.22,0.0403224453658,0.0,0.0136893652938,0.0588780762564
Signature.23,0.0414495156773,0.0,0.0354313477924,0.0
Signature.24,0.0,0.0,0.0,0.0332424122666
Signature.25,0.0,0.0,0.0,0.0
Signature.26,0.0,0.153711819286,0.0,0.0
Signature.27,0.0,0.0,0.174521489101,0.0683177698833
Signature.28,0.0,0.0,0.0,0.0236507277911
Signature.29,0.0,0.0,0.0,0.0197316810382
Signature.30,0.0117276533148,0.068381139248,0.166769437391,0.162255090117
