,11:10:1:3:2:5:4:7:6:9:8,13:12
Signature.1,0.0,0.0
Signature.2,0.0877405805082,0.184388623281
Signature.3,0.0316623092171,0.0
Signature.4,0.0,0.0392075486792
Signature.5,0.0664612050821,0.0149680944884
Signature.6,0.162591678481,0.163273914914
Signature.7,0.0187740557655,0.0331965452983
Signature.8,0.0161404803016,0.0408292279982
Signature.9,0.0,0.0316136664057
Signature.10,0.143046888275,0.0233442082637
Signature.11,0.0,0.0
Signature.12,0.131263129621,0.0161072113475
Signature.13,0.0163902431868,0.0
Signature.14,0.0223531655308,0.0
Signature.15,0.0698670964744,0.0
Signature.16,0.0,0.0436880704342
Signature.17,0.0,0.0317539905689
Signature.18,0.0776969181296,0.0
Signature.19,0.0,0.0
Signature.20,0.0263502682993,0.0610109587066
Signature.21,0.0173504659795,0.0
Signature.22,0.0,0.0
Signature.23,0.0,0.0
Signature.24,0.0,0.0
Signature.25,0.021680169183,0.0
Signature.26,0.0,0.0
Signature.27,0.0294234580105,0.0
Signature.28,0.0612078879542,0.316617939615
Signature.29,0.0,0.0
Signature.30,0.0,0.0
