,11:10:13:12:1:5:7:6,3:2:4,9,8
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0147867901452,0.0
Signature.3,0.0,0.0680878781087,0.0459562021638,0.0
Signature.4,0.0568768887202,0.213518034185,0.0,0.0716750198734
Signature.5,0.0,0.0,0.0,0.0649545380935
Signature.6,0.0,0.0231051505741,0.0,0.0250775761624
Signature.7,0.0,0.0694049451017,0.211294812042,0.0288287109056
Signature.8,0.108129987861,0.0,0.0,0.0
Signature.9,0.0197743146505,0.0508583399466,0.0110396731698,0.0570283514513
Signature.10,0.0272007115927,0.149696975407,0.263688919284,0.0
Signature.11,0.0,0.0351865403745,0.198806343983,0.0
Signature.12,0.0,0.0,0.0,0.0
Signature.13,0.0,0.0,0.0,0.0
Signature.14,0.0,0.0,0.0,0.0
Signature.15,0.0476959018822,0.0,0.0,0.0
Signature.16,0.0,0.0,0.0218748661868,0.0
Signature.17,0.0,0.0516508515778,0.063461281715,0.0206513525658
Signature.18,0.0574510285669,0.0,0.0771070719599,0.16362396844
Signature.19,0.0658964772942,0.0,0.0399411466568,0.0173759925127
Signature.20,0.0,0.0,0.0127563568676,0.0596349039465
Signature.21,0.0223798518896,0.114257378709,0.0,0.0111595640261
Signature.22,0.50294808264,0.0,0.0,0.050148798382
Signature.23,0.0255139043272,0.0446660109878,0.0,0.035844128771
Signature.24,0.0,0.0154647534675,0.0,0.0302427759411
Signature.25,0.0,0.0,0.0392865358265,0.0
Signature.26,0.0,0.0,0.0,0.168241727324
Signature.27,0.0,0.0533468350394,0.0,0.0400616102905
Signature.28,0.0,0.015741788005,0.0,0.0
Signature.29,0.0510048749854,0.0,0.0,0.0714599766821
Signature.30,0.0151279755895,0.0950145185156,0.0,0.083991004632
