,11:10:1:3:2:5:4:7:6:9:8,13:12
Signature.1,0.011040029605,0.0
Signature.2,0.0639750874985,0.0680894321813
Signature.3,0.0126126491208,0.0653439149869
Signature.4,0.0619206194566,0.0
Signature.5,0.011754695391,0.0112511793557
Signature.6,0.0,0.141164343057
Signature.7,0.0432651873269,0.0183337775568
Signature.8,0.0253288082521,0.0
Signature.9,0.0105069006095,0.0
Signature.10,0.0,0.188140252987
Signature.11,0.0122182154801,0.0
Signature.12,0.0153479797368,0.0637580591303
Signature.13,0.0,0.281206689642
Signature.14,0.0,0.0
Signature.15,0.0190211083701,0.0
Signature.16,0.102202110871,0.0
Signature.17,0.0,0.0
Signature.18,0.0,0.0
Signature.19,0.0987709595208,0.0
Signature.20,0.0,0.0
Signature.21,0.0642525018242,0.0
Signature.22,0.0,0.0
Signature.23,0.273950523167,0.0
Signature.24,0.0814782649002,0.0
Signature.25,0.0535948225283,0.0
Signature.26,0.0387595363412,0.0
Signature.27,0.0,0.0
Signature.28,0.0,0.162712351103
Signature.29,0.0,0.0
Signature.30,0.0,0.0
