,11:13:12:1:3:2:4:7:9:8,10,5,6
Signature.1,0.0,0.0,0.036048272103,0.0
Signature.2,0.0360360517174,0.0157919563255,0.0292160158804,0.0
Signature.3,0.457991275912,0.017431023416,0.0583145539837,0.126517285607
Signature.4,0.0,0.0527879574345,0.18575816051,0.0597565028844
Signature.5,0.0,0.0,0.0,0.0
Signature.6,0.0,0.0164963796274,0.0,0.0
Signature.7,0.0,0.0154722198348,0.0,0.189748354409
Signature.8,0.0410666814941,0.0,0.0532334021004,0.0138858044255
Signature.9,0.0648101355816,0.0,0.0108137962035,0.0385173486667
Signature.10,0.0,0.0,0.0276108539096,0.0
Signature.11,0.0,0.0212233305626,0.0,0.0
Signature.12,0.0,0.0,0.0,0.0445958291173
Signature.13,0.0,0.125125449157,0.0993139475575,0.0
Signature.14,0.0,0.0431683038751,0.0,0.0
Signature.15,0.084496491859,0.040770342274,0.0,0.0
Signature.16,0.0,0.0277942943385,0.250551298698,0.10572752852
Signature.17,0.0,0.0,0.0,0.0
Signature.18,0.0966397590812,0.0,0.0,0.0
Signature.19,0.0,0.0,0.0,0.0
Signature.20,0.0,0.0,0.0269227438691,0.0
Signature.21,0.0,0.0,0.0,0.0
Signature.22,0.0,0.0,0.0444827090345,0.0
Signature.23,0.0,0.0,0.0380287096477,0.0223614101892
Signature.24,0.0542088506448,0.0978915719061,0.0,0.0674684126316
Signature.25,0.0,0.0231858223216,0.0,0.045034341845
Signature.26,0.0,0.090332289554,0.0,0.0135608275827
Signature.27,0.0799070581968,0.311964750053,0.0677210906257,0.0270718371136
Signature.28,0.0734539023268,0.0,0.0,0.0
Signature.29,0.0,0.100564309319,0.0719844458769,0.0505989023274
Signature.30,0.0113897931859,0.0,0.0,0.195155614681
