,11:9:13:12:10,1:3:2:7:6:8,5:4
Signature.1,0.0,0.0169924236544,0.0
Signature.2,0.0117328520945,0.0216488900982,0.0
Signature.3,0.0,0.278051841485,0.0958712416337
Signature.4,0.0,0.0908131667178,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.233608468684,0.092467356133,0.340856353652
Signature.7,0.0,0.0742316172418,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.0,0.0,0.0
Signature.10,0.0224482955893,0.0250722671731,0.0
Signature.11,0.267410219612,0.0393808691814,0.016019698318
Signature.12,0.0312320044582,0.0,0.0183659481506
Signature.13,0.0305105175521,0.0,0.0
Signature.14,0.0,0.0,0.0
Signature.15,0.0,0.0522187264627,0.0
Signature.16,0.0197637428283,0.0,0.0
Signature.17,0.0931391147876,0.0,0.0
Signature.18,0.0,0.0737821124359,0.055728556282
Signature.19,0.074899204386,0.0,0.0
Signature.20,0.0,0.0,0.0
Signature.21,0.030282695123,0.0202586018486,0.0256230955466
Signature.22,0.0,0.0,0.0
Signature.23,0.0273778146886,0.0885902172479,0.0
Signature.24,0.0,0.0,0.0252318680508
Signature.25,0.037613406012,0.0,0.0894739451301
Signature.26,0.104570856771,0.0116401161478,0.0437553299501
Signature.27,0.0,0.101042977396,0.0
Signature.28,0.0,0.0,0.289073963286
Signature.29,0.0,0.0,0.0
Signature.30,0.0154108074135,0.0138088167771,0.0
