,11:10:12:5:7:6,1:13,3:2:4,9:8
Signature.1,0.01270656866,0.0,0.0219582548276,0.0
Signature.2,0.0,0.152628214084,0.062364411147,0.0412792471584
Signature.3,0.0,0.0,0.0354211588568,0.0225269982925
Signature.4,0.0,0.0,0.0,0.0425181324414
Signature.5,0.0,0.0,0.0244387859347,0.0
Signature.6,0.0,0.0,0.0,0.0
Signature.7,0.0351738511049,0.0,0.0117630513148,0.22955074477
Signature.8,0.0269083703192,0.0,0.0412922198974,0.0158329049681
Signature.9,0.0,0.0,0.0149425030956,0.0
Signature.10,0.0,0.176050838678,0.0,0.112095447921
Signature.11,0.189530046733,0.118726473998,0.0,0.0238572597032
Signature.12,0.0,0.0,0.0,0.0229455632232
Signature.13,0.0,0.0,0.0,0.130187151333
Signature.14,0.24868031687,0.0260420928528,0.0,0.0824501819088
Signature.15,0.0284876402401,0.0,0.0,0.0
Signature.16,0.0471163202161,0.191718433074,0.142384573084,0.0
Signature.17,0.0,0.0,0.0,0.0
Signature.18,0.0861417987755,0.0,0.0,0.0
Signature.19,0.0,0.0144578524881,0.0258160828664,0.0
Signature.20,0.0539622343,0.0,0.170682054736,0.0
Signature.21,0.0,0.0,0.0,0.0283455980021
Signature.22,0.0,0.0,0.0,0.0209613243989
Signature.23,0.0,0.0152874579385,0.0,0.0230883199915
Signature.24,0.0,0.0,0.0233114070464,0.0181276545139
Signature.25,0.0,0.0347943605196,0.045779577187,0.0
Signature.26,0.0,0.0,0.098301370597,0.0204019401388
Signature.27,0.214578393796,0.0376933308213,0.23722604037,0.0
Signature.28,0.0205575068061,0.064684068904,0.0,0.0143128091029
Signature.29,0.0,0.167916876641,0.0443185090386,0.0609413676001
Signature.30,0.0361569521792,0.0,0.0,0.0905773545322
