,11:10:13:12:1:2:7:9:8,3:5:4:6
Signature.1,0.0141617219107,0.0389153292272
Signature.2,0.0398474573271,0.0
Signature.3,0.0,0.163840149009
Signature.4,0.0645758333106,0.0
Signature.5,0.0743972839785,0.126259405791
Signature.6,0.0,0.0113425464049
Signature.7,0.103869288762,0.0220526202851
Signature.8,0.0,0.0901954832265
Signature.9,0.0,0.0222793732636
Signature.10,0.0,0.155810600311
Signature.11,0.0281452769085,0.0263773542034
Signature.12,0.136859443213,0.0
Signature.13,0.0,0.0
Signature.14,0.134348572235,0.0
Signature.15,0.0983030557031,0.0
Signature.16,0.0,0.0160603970939
Signature.17,0.0,0.0
Signature.18,0.0,0.195750505449
Signature.19,0.0578031135541,0.0
Signature.20,0.0,0.016393432174
Signature.21,0.0,0.0
Signature.22,0.0,0.0
Signature.23,0.0,0.0
Signature.24,0.0,0.0
Signature.25,0.0,0.0204832927166
Signature.26,0.0,0.0483298170436
Signature.27,0.0,0.0
Signature.28,0.191351708419,0.0
Signature.29,0.0563372446784,0.0167398864087
Signature.30,0.0,0.0291698073923
