,11:10:3:2:5:4,1,9:8:7:6
Signature.1,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0155050230125
Signature.3,0.0,0.308541571061,0.24406805931
Signature.4,0.0503636872339,0.0660778794473,0.0
Signature.5,0.117747453137,0.0,0.0
Signature.6,0.0293721500457,0.0919707977644,0.0
Signature.7,0.0,0.0,0.0
Signature.8,0.0215674876718,0.0521979467917,0.178857216065
Signature.9,0.0,0.0394408812056,0.0
Signature.10,0.0,0.115230489355,0.0
Signature.11,0.0,0.0,0.0
Signature.12,0.0232970920513,0.0218465831439,0.0180985892803
Signature.13,0.0,0.0,0.0
Signature.14,0.0,0.0,0.0
Signature.15,0.0462214767545,0.0630867501512,0.0688589403049
Signature.16,0.0,0.0,0.0202095612459
Signature.17,0.104578689007,0.0,0.0
Signature.18,0.0207025073705,0.0,0.0
Signature.19,0.0,0.0,0.0166044430942
Signature.20,0.0,0.0134573190617,0.0
Signature.21,0.109104448436,0.0,0.0147132738513
Signature.22,0.0,0.0,0.0640071224871
Signature.23,0.19016633456,0.0,0.0270275615016
Signature.24,0.0,0.0,0.230642165669
Signature.25,0.0,0.0,0.101408044178
Signature.26,0.0,0.0133437541353,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.0,0.0,0.0
Signature.29,0.286878673732,0.190995097272,0.0
Signature.30,0.0,0.0238109306116,0.0
