,11:13:12:1:3:2:5:6,9:10:8,4,7
Signature.1,0.0,0.0429504858022,0.0,0.0218221217497
Signature.2,0.0,0.010748018666,0.0,0.323744668253
Signature.3,0.0954129771235,0.0,0.0,0.0
Signature.4,0.0418417149913,0.0117212210739,0.0,0.0738962232364
Signature.5,0.0,0.0,0.0424509985618,0.113152334158
Signature.6,0.0,0.013947349752,0.0,0.0
Signature.7,0.0,0.0384815489261,0.225696691442,0.0
Signature.8,0.0390560972713,0.0,0.0,0.082451648397
Signature.9,0.0698901550495,0.0,0.0,0.0
Signature.10,0.0,0.0777251889361,0.0922652142514,0.0
Signature.11,0.0526999025494,0.0,0.0,0.0228907145277
Signature.12,0.0,0.0567295905895,0.0,0.0
Signature.13,0.19305389963,0.130074505227,0.12310495121,0.0341021402367
Signature.14,0.0,0.0123972044735,0.0,0.0
Signature.15,0.0446061836474,0.0,0.0594876835593,0.0
Signature.16,0.0,0.0267106540436,0.0402904629677,0.0
Signature.17,0.0185895521406,0.0,0.0859506860445,0.118776066028
Signature.18,0.0260724322807,0.0,0.0,0.0
Signature.19,0.357732906739,0.0415585299195,0.0233573661448,0.0
Signature.20,0.0,0.015450820577,0.0,0.0
Signature.21,0.0,0.0826734398908,0.020899683902,0.133408389763
Signature.22,0.0160088135986,0.0483164580556,0.044926043824,0.0
Signature.23,0.0,0.0,0.0,0.0
Signature.24,0.0128358160767,0.0989164272979,0.0,0.0122893328567
Signature.25,0.032199548902,0.0,0.0,0.0
Signature.26,0.0,0.0217718632045,0.0167450376623,0.0413729518666
Signature.27,0.0,0.0,0.22482518043,0.0
Signature.28,0.0,0.034453596856,0.0,0.0
Signature.29,0.0,0.0,0.0,0.0220934089272
Signature.30,0.0,0.235373096709,0.0,0.0
