,11:10,13:12:1:3:2:5:4:7:6:9:8
Signature.1,0.107521547028,0.0
Signature.2,0.0,0.0
Signature.3,0.0,0.0
Signature.4,0.024587663241,0.0108339867432
Signature.5,0.0,0.0151330068437
Signature.6,0.203399423581,0.0
Signature.7,0.0,0.0
Signature.8,0.0,0.0
Signature.9,0.0706909225808,0.033946572622
Signature.10,0.0526273087195,0.0
Signature.11,0.0,0.0
Signature.12,0.0129567316368,0.15092259881
Signature.13,0.0,0.0523496404919
Signature.14,0.0,0.0
Signature.15,0.0216657319755,0.0
Signature.16,0.0,0.357322430462
Signature.17,0.0,0.0
Signature.18,0.0268830000152,0.0137085466701
Signature.19,0.0222992056561,0.0332936169103
Signature.20,0.0,0.0
Signature.21,0.0,0.0
Signature.22,0.225011668987,0.0624992205543
Signature.23,0.0273420459402,0.104875641627
Signature.24,0.0,0.0984695079844
Signature.25,0.0,0.0
Signature.26,0.0938019931953,0.0
Signature.27,0.0,0.0
Signature.28,0.0,0.0
Signature.29,0.111212757444,0.0
Signature.30,0.0,0.0666452302811
